code,term,dmd_id,dmd_type,bnf_code
41977511000001107,Orgran gluten free outback animals cookies chocolate,41977511000001107,AMP,0913461J0BFAFAF
41977711000001102,Orgran gluten free outback animals cookies vanilla,41977711000001102,AMP,0913461J0BFAGAF
41975311000001109,Orgran gluten free shortbread hearts,41975311000001109,AMP,0913461J0BFAHAF
42115611000001109,Generic Mrs Crimble's gluten free bakewell slices,42115611000001109,VMP,0913461L0AAAAAA
42115711000001100,Generic Mrs Crimble's gluten free flapjacks,42115711000001100,VMP,0913461L0AAABAB
42115811000001108,Generic Mrs Crimble's gluten free choc chip muffins,42115811000001108,VMP,0913461L0AAACAC
42116011000001106,Generic Mrs Crimble's gluten free macaroons,42116011000001106,VMP,0913461L0AAADAD
42116111000001107,Generic Mrs Crimble's gluten free brownies,42116111000001107,VMP,0913461L0AAAEAE
42115911000001103,Generic Mrs Crimble's gluten free mini macaroons,42115911000001103,VMP,0913461L0AAAFAF
42236111000001104,Generic Mrs Crimble's gluten free giant macaroons,42236111000001104,VMP,0913461L0AAAGAG
42236211000001105,Generic Mrs Crimble's gluten free jam coconut rings,42236211000001105,VMP,0913461L0AAAHAH
42236311000001102,Generic Mrs Crimble's gluten free large coconut rings,42236311000001102,VMP,0913461L0AAAIAI
42236511000001108,Generic Mrs Crimble's gluten free large macaroons,42236511000001108,VMP,0913461L0AAAJAJ
42236411000001109,Generic Mrs Crimble's gluten free large jam coconut rings,42236411000001109,VMP,0913461L0AAAKAK
42070711000001108,Mrs Crimble's gluten free bakewell slices,42070711000001108,AMP,0913461L0BBAAAA
42070611000001104,Mrs Crimble's gluten free buttery oat flapjacks,42070611000001104,AMP,0913461L0BBABAB
42071011000001102,Mrs Crimble's gluten free choc chip flapjacks,42071011000001102,AMP,0913461L0BBACAB
42074911000001100,Mrs Crimble's gluten free choc chip muffins,42074911000001100,AMP,0913461L0BBADAC
42092911000001104,Mrs Crimble's gluten free choc orange mini macaroons,42092911000001104,AMP,0913461L0BBAEAF
42076811000001103,Mrs Crimble's gluten free coconut macaroons,42076811000001103,AMP,0913461L0BBAFAD
42076911000001108,Mrs Crimble's gluten free cranberry macaroons,42076911000001108,AMP,0913461L0BBAGAD
42091711000001108,Mrs Crimble's gluten free double choc brownies,42091711000001108,AMP,0913461L0BBAHAE
42093311000001105,Mrs Crimble's gluten free giant choc macaroons,42093311000001105,AMP,0913461L0BBAIAG
42094711000001106,Mrs Crimble's gluten free jam coconut rings,42094711000001106,AMP,0913461L0BBAJAH
42095011000001108,Mrs Crimble's gluten free large choc coconut rings,42095011000001108,AMP,0913461L0BBAKAI
42095311000001106,Mrs Crimble's gluten free large choc macaroons,42095311000001106,AMP,0913461L0BBALAJ
42113711000001101,Mrs Crimble's gluten free large jam coconut rings,42113711000001101,AMP,0913461L0BBAMAK
42113911000001104,Mrs Crimble's gluten free chocolate mini macaroons,42113911000001104,AMP,0913461L0BBANAF
42116311000001109,Mrs Crimble's gluten free mixed berry flapjacks,42116311000001109,AMP,0913461L0BBAPAB
